song_name,cleaned_artists,popularity
My My My!,Troye Sivan,73
...Ready For It?,Taylor Swift,68
That's What I Like,Bruno Mars,81
I Could Use a Love Song,Maren Morris,66
Too Much To Ask,Niall Horan,73
Juice,Yo Gotti,56
What About Us,P!nk,74
Look What You Made Me Do,Taylor Swift,73
Light It Up,Luke Bryan,63
The Race,Tay-K,73
Modern Slavery,"['Quavo', 'Huncho Jack', 'Travis Scott']",61
Black & Chinese,"['Quavo', 'Huncho Jack', 'Travis Scott']",62
Motorcycle Patches,"['Quavo', 'Huncho Jack', 'Travis Scott']",64
Saint,"['Quavo', 'Huncho Jack', 'Travis Scott']",65
Believe,Eminem,63
HUMBLE.,Kendrick Lamar,81
There's Nothing Holdin' Me Back,Shawn Mendes,81
When It Rains It Pours,Luke Combs,77
Unforgettable,Thomas Rhett,68
Untouchable,Eminem,53
Love So Soft,Kelly Clarkson,61
Transportin',Kodak Black,69
Sauce It Up,Lil Uzi Vert,69
Praying,Kesha,74
do re mi,blackbear,76
Slow Hands,Niall Horan,75
Fix a Drink,Chris Janson,62
Go Flex,Post Malone,78
Awful Things,"['Lil Peep', 'Lil Tracy']",71
Every Little Thing,Carly Pearce,54
Questions,Chris Brown,65
XO Tour Llif3,Lil Uzi Vert,82
Something Just Like This,"['The Chainsmokers', 'Coldplay']",75
Call It What You Want,Taylor Swift,63
Gorgeous,Taylor Swift,66
Smooth,Florida Georgia Line,58
The Plan,G-Eazy,58
Body Like A Back Road,Sam Hunt,77
Location,Khalid,80
Heartache On The Dance Floor,Jon Pardi,72
B.E.D.,Jacquees,67
All the Pretty Girls,Kenny Chesney,68
More Girls Like You,Kip Moore,61
Feed Me Dope,Future,54
4 da Gang,Future,52
Bedroom Floor,Liam Payne,64
Say You Won't Let Go,James Arthur,82
Small Town Boy,Dustin Lynch,73
They Don't Know,Jason Aldean,38
Do I Make You Wanna,Billy Currington,70
No Promises,A Boogie Wit da Hoodie,58
Say A',A Boogie Wit da Hoodie,64
DNA,BTS,71
Redbone,Childish Gambino,79
Hi Bich,Bhad Bhabie,60
It Ain't My Fault,Brothers Osborne,64
No Such Thing as a Broken Heart,Old Dominion,66
Felices los 4,Maluma,76
Wish I Knew You,The Revivalists,68
Mask Off,Future,78
Drinkin' Problem,Midland,63
These Heaux,Bhad Bhabie,56
Magnolia,Playboi Carti,74
Found You,Kane Brown,62
Versace on the Floor,Bruno Mars,74
444+222,Lil Uzi Vert,61
My Girl,Dylan Scott,67
Most Girls,Hailee Steinfeld,75
Dark Queen,Lil Uzi Vert,70
X,Lil Uzi Vert,60
Revenge,XXXTENTACION,74
Somebody Else Will,Justin Moore,58
Reminder,The Weeknd,70
No Fear,DeJ Loaf,63
DNA.,Kendrick Lamar,77
For Real,Lil Uzi Vert,58
No Sleep Leak,Lil Uzi Vert,58
